Kanji,Reading,JLPT,Type,Meaning
['眼球'],[['がんきゅう']],1,"['&n;', '&adj-no;']",['eyeball']
['眼中にない'],[['がんちゅうにない']],1,"['&exp;', '&adj-i;']","['taking no notice (of)', 'thinking nothing of', 'disregarding', 'not aware of', 'completely ignoring', 'being out of consideration', 'effectively not existing as an option']"
['頑な'],[['かたくな']],1,['&adj-na;'],"['obstinate', 'stubborn', 'mulish', 'die-hard', 'bigoted']"
['頑強'],[['がんきょう']],1,['&adj-na;'],"['stubborn', 'dogged', 'persistent', 'tenacious']"
['危篤'],[['きとく']],1,"['&n;', '&adj-no;']","['critical condition', 'being on the verge of death']"
['基礎'],[['きそ']],1,"['&n;', '&adj-no;']","['foundation', 'basis']"
['奇異'],[['きい']],1,"['&adj-na;', '&adj-no;', '&n;']","['odd', 'strange', 'queer', 'peculiar']"
['奇遇'],[['きぐう']],1,"['&adj-na;', '&adj-no;', '&n;']","['unexpected meeting', 'coincidence']"
['奇形'],"[['きけい'], ['きぎょう']]",1,"['&n;', '&adj-no;']","['deformity', 'malformation']"
['奇数'],[['きすう']],1,"['&n;', '&adj-no;']",['odd number']
['奇跡的'],[['きせきてき']],1,['&adj-na;'],['miraculous']
['奇想天外'],[['きそうてんがい']],1,"['&adj-na;', '&adj-no;', '&n;']","['fantastic', 'bizarre', 'incredible', 'unbelievable']"
['嬉しい'],[['うれしい']],1,['&adj-i;'],"['happy', 'glad', 'pleased', 'delighted', 'overjoyed']"
['幾つか'],[['いくつか']],1,['&adj-no;'],"['(a) few', 'some', 'several']"
['忌まわしい'],[['いまわしい']],1,['&adj-i;'],"['unpleasant', 'disagreeable', 'abominable', 'disgusting', 'unsavory']"
['揮発性'],[['きはつせい']],1,"['&n;', '&adj-no;']",['volatility']
['既製'],[['きせい']],1,"['&n;', '&adj-no;']","['ready-made', 'off the shelf']"
['既存'],"[['きそん'], ['きぞん']]",1,"['&n;', '&adj-no;']",['existing']
['既知'],[['きち']],1,"['&adj-no;', '&adj-na;', '&n;']","['already known', 'well-known']"
['既約'],[['きやく']],1,"['&adj-na;', '&adj-no;', '&n;']",['irreducible']
['機甲'],[['きこう']],1,"['&n;', '&adj-no;']","['armour (e.g. tank)', 'armor']"
['貴族'],[['きぞく']],1,"['&n;', '&adj-no;']","['noble', 'aristocrat', 'peer']"
['軌道'],[['きどう']],1,"['&n;', '&adj-no;']","['orbit', 'trajectory']"
['輝かしい'],[['かがやかしい']],1,['&adj-i;'],"['brilliant', 'glorious', 'glittering', 'bright', 'splendid (e.g. achievement, success)', 'promising (e.g. future)']"
['騎馬'],[['きば']],1,"['&n;', '&adj-no;']","['horse riding', 'horseback riding', 'horseback rider']"
['偽り'],[['いつわり']],1,"['&n;', '&adj-no;']","['lie', 'falsehood', 'fiction', 'fabrication']"
['偽書'],[['ぎしょ']],1,"['&n;', '&adj-no;']","['spurious letter', 'apocryphal book', 'forgery']"
['偽性'],[['ぎせい']],1,"['&adj-na;', '&adj-no;', '&pref;']","['pseudo', 'fake', 'imitation']"
['偽誓'],[['ぎせい']],1,"['&n;', '&adj-no;']","['perjury', 'false oath']"
['偽善'],[['ぎぜん']],1,"['&n;', '&adj-no;']",['hypocrisy']
['偽妊娠'],[['ぎにんしん']],1,['&adj-na;'],"['false pregnancy', 'phantom pregnancy', 'pseudopregnancy']"
['儀式主義'],[['ぎしきしゅぎ']],1,"['&n;', '&adj-no;']","['ritualism', 'ceremonialism']"
['儀式用'],[['ぎしきよう']],1,['&adj-no;'],['for ceremonial use']
['儀礼的'],[['ぎれいてき']],1,['&adj-na;'],"['formal', 'courteous', 'ritual', 'ritualistic']"
